Capteur,Date,Heure,totalIn,totalOut,averageBus,averageMotos,averagePL,averageVL,averageOther,averageSpeed
P10,2022/10/18,7,26,3,0.0,0.0,0.0,0.4827586206896552,0.3448275862068966,NaN
P10,2022/10/18,8,95,13,0.0,0.0,0.0,0.5648148148148148,0.2222222222222222,NaN
P10,2022/10/18,9,55,17,0.0,0.0,0.0,0.4583333333333333,0.2916666666666667,NaN
P10,2022/10/18,10,27,8,0.0,0.0,0.0,0.4857142857142857,0.4,NaN
P10,2022/10/18,11,41,34,0.0,0.0,0.0,0.4,0.5066666666666667,NaN
P10,2022/10/18,12,36,42,0.0,0.0,0.0,0.7307692307692307,0.16666666666666666,NaN
P10,2022/10/18,13,43,21,0.0,0.0,0.0,0.6875,0.109375,NaN
P10,2022/10/18,14,19,23,0.0,0.0,0.0,0.5,0.42857142857142855,NaN
P10,2022/10/18,15,11,29,0.0,0.0,0.0,0.475,0.4,NaN
P10,2022/10/18,16,9,39,0.0,0.0,0.0,0.6875,0.20833333333333334,NaN
P10,2022/10/18,17,11,68,0.0,0.0,0.0,0.5949367088607594,0.12658227848101267,NaN
P10,2022/10/18,18,6,42,0.0,0.0,0.0,0.5208333333333334,0.041666666666666664,NaN
P10,2022/10/18,19,2,33,0.0,0.0,0.0,0.6,0.11428571428571428,NaN
P10,2022/10/18,20,2,11,0.0,0.0,0.0,0.6153846153846154,0.23076923076923078,NaN
P10,2022/10/18,21,1,5,0.0,0.0,0.0,0.5,0.16666666666666666,NaN
P10,2022/10/18,22,0,1,0.0,0.0,0.0,1.0,0.0,NaN
P10,2022/10/18,23,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/19,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/19,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/19,2,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/19,3,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/19,4,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/19,5,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/19,6,4,2,0.0,0.0,0.0,0.16666666666666666,0.6666666666666666,NaN
P10,2022/10/19,7,16,3,0.0,0.0,0.0,0.42105263157894735,0.3684210526315789,NaN
P10,2022/10/19,8,116,16,0.0,0.0,0.0,0.7575757575757576,0.09848484848484848,NaN
P10,2022/10/19,9,71,13,0.0,0.0,0.0,0.6309523809523809,0.20238095238095238,NaN
P10,2022/10/19,10,33,16,0.0,0.0,0.0,0.5510204081632653,0.2653061224489796,NaN
P10,2022/10/19,11,36,41,0.0,0.0,0.0,0.44155844155844154,0.45454545454545453,NaN
P10,2022/10/19,12,42,54,0.0,0.0,0.0,0.6145833333333334,0.23958333333333334,NaN
P10,2022/10/19,13,36,27,0.0,0.0,0.0,0.6349206349206349,0.19047619047619047,NaN
P10,2022/10/19,14,20,21,0.0,0.0,0.0,0.4878048780487805,0.34146341463414637,NaN
P10,2022/10/19,15,22,44,0.0,0.0,0.0,0.6212121212121212,0.25757575757575757,NaN
P10,2022/10/19,16,16,34,0.0,0.0,0.0,0.7,0.18,NaN
P10,2022/10/19,17,11,71,0.0,0.0,0.0,0.7195121951219512,0.04878048780487805,NaN
P10,2022/10/19,18,8,62,0.0,0.0,0.0,0.6571428571428571,0.05714285714285714,NaN
P10,2022/10/19,19,5,32,0.0,0.0,0.0,0.5675675675675675,0.16216216216216217,NaN
P10,2022/10/19,20,1,6,0.0,0.0,0.0,0.7142857142857143,0.0,NaN
P10,2022/10/19,21,0,4,0.0,0.0,0.0,0.5,0.25,NaN
P10,2022/10/19,22,0,1,0.0,0.0,0.0,0.0,0.0,NaN
P10,2022/10/19,23,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/20,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/20,1,0,1,0.0,0.0,0.0,1.0,0.0,NaN
P10,2022/10/20,2,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/20,3,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/20,4,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/20,5,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/20,6,3,0,0.0,0.0,0.0,0.0,1.0,NaN
P10,2022/10/20,7,16,4,0.0,0.0,0.0,0.65,0.15,NaN
P10,2022/10/20,8,106,7,0.0,0.0,0.0,0.6017699115044248,0.18584070796460178,NaN
P10,2022/10/20,9,73,16,0.0,0.0,0.0,0.6741573033707865,0.1797752808988764,NaN
P10,2022/10/20,10,25,18,0.0,0.0,0.0,0.6046511627906976,0.2558139534883721,NaN
P10,2022/10/20,11,31,34,0.0,0.0,0.0,0.4461538461538462,0.4153846153846154,NaN
P10,2022/10/20,12,22,40,0.0,0.0,0.0,0.6612903225806451,0.2903225806451613,NaN
P10,2022/10/20,13,44,22,0.0,0.0,0.0,0.696969696969697,0.16666666666666666,NaN
P10,2022/10/20,14,25,13,0.0,0.0,0.0,0.5789473684210527,0.3157894736842105,NaN
P10,2022/10/20,15,14,51,0.0,0.0,0.0,0.6153846153846154,0.2923076923076923,NaN
P10,2022/10/20,16,7,56,0.0,0.0,0.0,0.6666666666666666,0.1746031746031746,NaN
P10,2022/10/20,17,7,80,0.0,0.0,0.0,0.6781609195402298,0.05747126436781609,NaN
P10,2022/10/20,18,5,38,0.0,0.0,0.0,0.7209302325581395,0.046511627906976744,NaN
P10,2022/10/20,19,1,17,0.0,0.0,0.0,0.6111111111111112,0.0,NaN
P10,2022/10/20,20,2,8,0.0,0.0,0.0,0.9,0.0,NaN
P10,2022/10/20,21,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/20,22,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/20,23,0,2,0.0,0.0,0.0,1.0,0.0,NaN
P10,2022/10/21,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/21,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/21,2,0,0,NaN,NaN,NaN,NaN,NaN,NaN
